source,url,role,access_method,default_status,reuse_note
NPR,https://feeds.npr.org/1004/rss.xml,world news,RSS over HTTPS,configured,"Public feed; article copyright remains with publisher"
BBC,https://feeds.bbci.co.uk/news/world/rss.xml,world news,RSS over HTTPS,configured,"Public feed; article copyright remains with publisher"
Al Jazeera,https://www.aljazeera.com/xml/rss/all.xml,world news,RSS over HTTPS,configured,"Public feed; article copyright remains with publisher"
New York Times,https://rss.nytimes.com/services/xml/rss/nyt/World.xml,world news,RSS over HTTPS,configured,"Public feed; article copyright remains with publisher"
GDACS,https://www.gdacs.org/xml/rss.xml,disaster alerts,RSS over HTTPS,configured,"Preserve GDACS attribution and alert timestamps"
The War Zone,https://www.twz.com/feed,defense news,RSS over HTTPS,configured,"Public feed; article copyright remains with publisher"
Bellingcat,https://www.bellingcat.com/feed/,open source investigations,RSS over HTTPS,configured,"Public feed; verify each article license"
The Guardian,https://www.theguardian.com/world/rss,world news,RSS over HTTPS,configured,"Public feed; article copyright remains with publisher"
TASS,https://tass.com/rss/v2.xml,world news,RSS over HTTPS,configured,"Public feed; retain source and editorial provenance"
Xinhua,https://www.news.cn/english/rss/worldrss.xml,world news,RSS over HTTPS,configured,"Public feed; retain source and editorial provenance"
Channel NewsAsia,https://www.channelnewsasia.com/api/v1/rss-outbound-feed?_format=xml,Asia news,RSS over HTTPS,configured,"Public feed; article copyright remains with publisher"
MercoPress,https://en.mercopress.com/rss/,South Atlantic and Latin America news,RSS over HTTPS,configured,"Public feed; article copyright remains with publisher"
South China Morning Post,https://www.scmp.com/rss/91/feed,Asia news,RSS over HTTPS,configured,"Public feed; article copyright remains with publisher"
The Diplomat,https://thediplomat.com/feed/,Asia-Pacific affairs,RSS over HTTPS,configured,"Public feed; article copyright remains with publisher"
Yonhap,https://en.yna.co.kr/RSS/news.xml,Korea news,RSS over HTTPS,configured,"Public feed; article copyright remains with publisher"
Asia Times,https://asiatimes.com/feed/,Asia news,RSS over HTTPS,configured,"Public feed; article copyright remains with publisher"
Defense News,https://www.defensenews.com/arc/outboundfeeds/rss/,defense news,RSS over HTTPS,configured,"Public feed; article copyright remains with publisher"
The Japan Times,https://www.japantimes.co.jp/feed/,Japan news,RSS over HTTPS,configured,"Public feed; article copyright remains with publisher"
Christian Science Monitor,https://www.csmonitor.com/rss/world,world news,RSS over HTTPS,configured,"Public feed; article copyright remains with publisher"
PBS NewsHour,https://www.pbs.org/newshour/feeds/rss/world,world news,RSS over HTTPS,configured,"Public feed; article copyright remains with publisher"
France 24,https://www.france24.com/en/rss,world news,RSS over HTTPS,configured,"Public feed; article copyright remains with publisher"
Deutsche Welle,https://rss.dw.com/xml/rss-en-world,world news,RSS over HTTPS,configured,"Public feed; article copyright remains with publisher"

