provider,region,directory_access,credential,media_interaction,default_status,code_ingestor,notes
TfL JamCam,London UK,REST JSON,no key,backend-proxied image or video,scheduled,TFLJamCamIngestor,"Agency attribution and media terms apply"
Singapore LTA,Singapore,REST JSON,LTA_ACCOUNT_KEY,image URL,scheduled,LTASingaporeIngestor,"Free registration; daily call threshold can change"
Austin TX,Austin USA,Socrata REST,no key,JPEG image,scheduled,AustinTXIngestor,"Open-data fields and image host may change"
NYC DOT,New York City USA,REST directory,no key,image endpoint or stream,scheduled,NYCDOTIngestor,"Agency terms apply"
Caltrans,California USA,public directory or XML,no key,image,scheduled,CaltransIngestor,"District endpoints can drift"
Colorado DOT,Colorado USA,public directory or API,no key,image,scheduled,ColoradoDOTIngestor,"Agency terms apply"
WSDOT,Washington USA,ArcGIS REST or API,depends on endpoint,image,scheduled,WSDOTIngestor,"Agency terms apply"
Georgia DOT,Georgia USA,public directory or API,no key,image,scheduled,GeorgiaDOTIngestor,"Agency terms apply"
Illinois DOT,Illinois USA,public directory or API,no key,image,scheduled,IllinoisDOTIngestor,"Agency terms apply"
Michigan DOT,Michigan USA,public directory or API,no key,image,scheduled,MichiganDOTIngestor,"Agency terms apply"
Windy Webcams,global,REST JSON,WINDY_API_KEY,time-limited image URL,scheduled,WindyWebcamsIngestor,"Free plan limits image size and catalogue traversal"
Spain DGT,Spain,KML or public directory,no key,image or video,scheduled,DGTNationalIngestor,"Current media path is institution-controlled"
Madrid City,Madrid Spain,KML open-data feed,no key,image,scheduled,MadridCityIngestor,"City open-data attribution applies"
OSM traffic camera,global,Overpass QL,no key,metadata and tagged links,scheduled,OSMTrafficCameraIngestor,"ODbL attribution and public Overpass limits apply"
ASFINAG,Austria,REST JSON,no key,image or stream,scheduled,AsfinagIngestor,"Referer and institution terms apply"
OSM ALPR camera,global,Overpass QL,no key,metadata mainly,scheduled,OSMALPRCameraIngestor,"Sensitive camera classification requires care"
Ontario 511,Ontario Canada,511 or ArcGIS API,no key,image,scheduled,Ontario511Ingestor,"Province terms apply"
Alberta 511,Alberta Canada,511 API,no key,image,scheduled,Alberta511Ingestor,"Province terms apply"
Florida 511,Florida USA,511 API or directory,no key,image,scheduled,Florida511Ingestor,"State terms apply"
Australia LiveTraffic,Australia,government traffic API,no key,image,scheduled,AustraliaLiveTrafficIngestor,"State coverage and terms vary"
Rijkswaterstaat NDW,Netherlands,legacy public endpoint,no key,image when available,scheduled,NetherlandsRWSIngestor,"Upstream code notes that the legacy endpoint is often offline or retired"

