domain,source,data,access_method,refresh,key_required,free_level,device_required,multipoint_required,code_area,notes,official_url
aviation,OpenSky Network,commercial and private aircraft,OAuth2 REST polling,about 60 seconds,yes,B/D,no,no,backend/services/fetchers/flights.py,"Free account is rate-limited; automated operational and commercial use may require written agreement",https://opensky-network.org/
aviation,adsb.lol,military and gap-fill aircraft,public HTTP JSON polling,about 60 seconds,no,A,no,no,backend/services/fetchers/flights.py,"ODbL attribution; coverage depends on feeder network",https://adsb.lol/
aviation,Airframes.io,ACARS VDL and aircraft dossier,authenticated API on demand,on demand,yes,C/D,no,no,backend/services,"Optional; verify current quota and commercial terms",https://airframes.io/
aviation,project aircraft lists,special-interest and owner mappings,local static data and rules,per release,no,A,no,no,backend/data,"May become stale; not direct observation",https://github.com/BigBodyCobain/Shadowbroker
aviation,GPS jamming inference,NAC-P degradation zones,derived from ADS-B observations,about 60 seconds,upstream-dependent,derived,no,no,backend/services/fetchers/flights.py,"Inference rather than a direct source",https://github.com/BigBodyCobain/Shadowbroker
maritime,AISStream,AIS vessel positions,WSS WebSocket,real-time,yes,B,no,no,backend/services/ais_stream.py,"Free key; beta service with no SLA",https://aisstream.io/documentation
maritime,Global Fishing Watch,fishing and vessel events,Bearer-token REST API,about 1 hour,yes,B,no,no,backend/services/fetchers/geo.py,"Free key for non-commercial use; attribution required",https://globalfishingwatch.org/our-apis/
maritime,Local AIS receiver,local vessel radio observations,RTL-SDR plus AIS-catcher HTTP POST,about 10 seconds,no,E,yes,optional,backend API /api/ais/feed,"Multi-point only for own coverage in multiple regions",https://github.com/jvde-github/AIS-catcher
maritime,Carrier tracker,carrier location estimates,GDELT and news-derived inference,variable,mixed,derived,no,no,backend/services/carrier_tracker.py,"Estimated location; not authoritative telemetry",https://github.com/BigBodyCobain/Shadowbroker
satellite,CelesTrak,TLE orbital elements,HTTP download plus local SGP4,position recomputed about 60 seconds,no,A,no,no,backend/services/fetchers/satellites.py,"Animated position is computed; TLE is not live telemetry",https://celestrak.org/
satellite,SatNOGS,ground station network,API polling,about 30 minutes,no,A,no,no,backend/services/fetchers/sigint.py,"Consumes public distributed receivers",https://satnogs.org/
satellite,TinyGS,LoRa satellite ground stations,API polling,about 30 minutes,no,A,no,no,backend/services/fetchers/sigint.py,"Community coverage",https://tinygs.com/
satellite,NASA GIBS,MODIS imagery,WMTS map tiles,daily,no,A,no,no,frontend map layers,"Usually 24 to 48 hours delayed",https://gibs.earthdata.nasa.gov/
satellite,Microsoft Planetary Computer,Sentinel-2 and STAC catalog,STAC API on demand,on demand,no,A,no,no,backend/services/sentinel_search.py,"Free public datasets; dataset-specific licenses apply",https://planetarycomputer.microsoft.com/docs
satellite,Copernicus Data Space,Sentinel and Process API,OAuth2 STAC Process API,on demand,yes,B/C,no,no,backend/services,"Free registration with quotas",https://dataspace.copernicus.eu/
satellite,ASF Search,SAR catalog,search API,on demand,partly,B,no,no,backend SAR services,"Catalog may be open; downloads may require Earthdata account",https://search.asf.alaska.edu/
satellite,NASA OPERA EGMS GFM EMS UNOSAT,ground change and damage products,catalog APIs and files,product cadence,varies,A/B,no,no,backend SAR services,"Delayed analysis products rather than raw live radar",https://github.com/BigBodyCobain/Shadowbroker
satellite,VIIRS Nightlights,night-light change,static products or Earth Engine,daily or monthly,optional,A/C,no,no,backend services,"Earth Engine terms differ for commercial use",https://eogdata.mines.edu/
environment,USGS Earthquake,global earthquakes,GeoJSON feed polling,about 60 seconds,no,A,no,no,backend/services/fetchers/earth_observation.py,"US public data",https://earthquake.usgs.gov/earthquakes/feed/
environment,NASA FIRMS,fire and thermal anomalies,CSV API and optional MAP_KEY,about 120 seconds,optional,B,no,no,backend/services/fetchers/earth_observation.py,"Free MAP_KEY; satellite limitations apply",https://firms.modaps.eosdis.nasa.gov/
environment,Smithsonian GVP,volcano catalog,static dataset,static,no,A,no,no,backend/services/fetchers/earth_observation.py,"Not live eruption telemetry",https://volcano.si.edu/
environment,OpenAQ,air quality,v3 REST API,about 120 seconds,yes,B/C,no,no,backend/services/fetchers/earth_observation.py,"Current v3 requires free API key; project source table may be outdated",https://docs.openaq.org/
environment,NOAA NWS,severe weather alerts,official JSON GeoJSON polling,about 120 seconds,no,A,no,no,backend/services/fetchers/earth_observation.py,"Primarily US coverage",https://www.weather.gov/
environment,NOAA SWPC,space weather,official JSON feed,about 120 seconds,no,A,no,no,backend/services/fetchers/earth_observation.py,"US public data",https://services.swpc.noaa.gov/
environment,IODA,internet outages,academic API polling,about 120 seconds,no,A/B,no,no,backend/services/fetchers/infrastructure.py,"Academic service availability may vary",https://ioda.inetintel.cc.gatech.edu/
infrastructure,WRI Global Power Plant Database,power plants,static dataset,per release,no,A,no,no,backend/services/fetchers/infrastructure.py,"CC BY attribution",https://datasets.wri.org/
infrastructure,Military base datasets,military installations,local static datasets,per release,no,A/unknown,no,no,backend/data,"Source-level provenance needs further audit",https://github.com/BigBodyCobain/Shadowbroker
infrastructure,DC Map,data centers,GitHub dataset polling,about 7 days,no,A,no,no,backend/services/fetchers/infrastructure.py,"Verify repository and dataset license",https://github.com/dcmap
infrastructure,TeleGeography-derived routes,submarine cables,static GeoJSON,static,no,A/unknown,no,no,backend/data,"Public visibility does not automatically grant redistribution rights",https://www.submarinecablemap.com/
news,GDELT,global news and conflict events,API and bulk data,about 6 hours,no,A,no,no,backend/services/geopolitics.py,"Requires deduplication and original-source validation",https://www.gdeltproject.org/
news,DeepState Map,Ukraine frontline,GeoJSON or mirror polling,about 30 minutes,no,A/terms,no,no,backend/services/geopolitics.py,"Optional commit pin; viewpoint and license caveats",https://deepstatemap.live/
news,Telegram public previews,public OSINT channel posts,HTML scraping of t.me/s,about 1 hour,no,A/terms,no,no,backend/services/fetchers/telegram_osint.py,"Public channels only; geoparsing is inferred",https://t.me/
news,LiveUAMap,regional incidents,Playwright browser automation,when enabled,no,D/terms,no,no,backend/services/liveuamap_scraper.py,"Stealth and Turnstile handling create policy and maintenance risk",https://liveuamap.com/
news,RSS and Atom feeds,news and bulletins,feed polling,minutes to hours,no,A/by-source,no,no,backend/services/fetchers/news.py,"Each publisher has separate reuse terms",https://github.com/BigBodyCobain/Shadowbroker
news,alerts.in.ua,Ukraine air alerts,token API,real-time or near real-time,yes,B,no,no,backend services,"Free token; check current terms",https://alerts.in.ua/
cyber,Shodan,internet-connected devices,REST API on demand,on demand,yes,C,no,no,backend/services/shodan_connector.py,"Free key is limited; advanced search and streaming may require paid plans",https://developer.shodan.io/api/requirements
cyber,OpenSanctions OFAC,SDN sanctions entities,dataset download and local cache,about 24 hours,no,A/by-dataset,no,no,backend/services/sanctions/ofac.py,"Attribution and dataset terms apply",https://www.opensanctions.org/
cyber,abuse.ch Feodo and URLhaus,malware C2 and URLs,feed API polling,about 5 minutes,no,A,no,no,backend/services/fetchers/malware.py,"Threat data can be stale or false positive",https://abuse.ch/
cyber,CISA KEV,known exploited vulnerabilities,official JSON CSV feed,about 5 minutes,no,A,no,no,backend/services/fetchers/cyber_status.py,"US public source",https://www.cisa.gov/known-exploited-vulnerabilities-catalog
cyber,ip-api.com,IP geolocation,REST on demand,on demand,no,C,no,no,backend/services/osint/lookups.py,"Free plan has rate and usage limitations",https://ip-api.com/
cyber,Google Public DNS,DNS records,DNS-over-HTTPS,on demand,no,A,no,no,backend/services/osint/lookups.py,"Queries are visible to Google DNS",https://developers.google.com/speed/public-dns/docs/doh
cyber,RDAP.org,registration records,RDAP REST and redirect,on demand,no,A,no,no,backend/services/osint/lookups.py,"Completeness depends on registry",https://about.rdap.org/
cyber,crt.sh,certificate transparency,HTTP JSON query,on demand,no,A,no,no,backend/services/osint/lookups.py,"No formal SLA; cache and rate-limit",https://crt.sh/
cyber,BGPView,ASN prefixes and routing,REST API,on demand,no,A,no,no,backend/services/osint/lookups.py,"Public service without commercial SLA",https://bgpview.io/
transport,LTA DataMall,Singapore traffic cameras,AccountKey REST API,about 10 minutes,yes,B,no,no,backend/services/cctv_pipeline.py,"Free registration; threshold can change",https://datamall.lta.gov.sg/
transport,Windy Webcams,global webcams,API key REST,about 10 minutes,yes,B/C,no,no,backend/services/cctv_pipeline.py,"Free tier limits offset image size and URL lifetime",https://api.windy.com/webcams/pricing
